,HA3,HA6,HA7,HF7,HF8_01,HF8_02,HF8_03,HF8_04,HF8_05,HF8_06,HF8_07,HF8_08,HF8_09,HF8_10,HF8_11,HF8_12,HF8_13,HF8_14,HF12,HF13,HF14,HF15,HF16,HF16L,HF18
1498,WIEŚ,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,UTRZ. SIĘ Z NIEZAROBKOWYCH ŹRÓDEŁ,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,W ZŁOTYCH,50.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,4.0,NIE ZMIENIŁA SIĘ
1523,WIEŚ,PRACOWNIKÓW,EMERYTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,40.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,15.0,POGORSZYŁA SIĘ
1777,M PONIŻEJ 20 TYS.,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,30.0,POWYŻEJ 3-MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,4.0,NIE ZMIENIŁA SIĘ
1794,WIEŚ,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,TAK,TAK,NIE,TAK,TAK,NIE,TAK,TAK,TAK,NIE,TAK,NIE,W ZŁOTYCH,0.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,9.0,POGORSZYŁA SIĘ
1872,M 20-100 TYS.,PRACOWNIKÓW,PRACOWNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,70.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,10.0,NIE ZMIENIŁA SIĘ
1978,WIEŚ,PRACOWNIKÓW,ROLNIKÓW,,,,,,,,,,,,,,,,WE FRANKACH SZWAJCARSKICH,70.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,17.0,NIE ZMIENIŁA SIĘ
1991,M 20-100 TYS.,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,TRUDNO POWIEDZIEĆ,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,TAK,NIE,WE FRANKACH SZWAJCARSKICH,40.0,,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,23.0,NIE ZMIENIŁA SIĘ
2007,WIEŚ,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,,,,,,,,,,,,,,,,WE FRANKACH SZWAJCARSKICH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 40 I 50 PROC.,CO NAJMNIEJ ROK,10.0,POGORSZYŁA SIĘ
2058,M 200-500 TYS.,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,ROLNIKÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,TAK,NIE,TAK,NIE,TAK,NIE,NIE,TAK,TAK,NIE,NIE,TAK,TAK,TAK,W ZŁOTYCH,13.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,29.0,POPRAWIŁA SIĘ
2600,M 100-200 TYS.,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,TAK,TAK,TAK,NIE,NIE,TAK,W EURO,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,8.0,NIE ZMIENIŁA SIĘ
2636,M PONIŻEJ 20 TYS.,PRACOWNIKÓW,ROLNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,80.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,14.0,POPRAWIŁA SIĘ
2766,M 20-100 TYS.,PRACOWNIKÓW,EMERYTÓW,,,,,,,,,,,,,,,,WE FRANKACH SZWAJCARSKICH,20.0,,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,10.0,POGORSZYŁA SIĘ
2831,M PONIŻEJ 20 TYS.,PRACOWNIKÓW,RENCISTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,TAK,TAK,TAK,TAK,TAK,NIE,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,30.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,16.0,POPRAWIŁA SIĘ
2842,WIEŚ,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,9.0,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,2.0,NIE ZMIENIŁA SIĘ
2901,WIEŚ,ROLNIKÓW,RENCISTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,30.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,3.0,
3012,M 200-500 TYS.,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,40.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,27.0,NIE ZMIENIŁA SIĘ
3211,WIEŚ,PRACOWNIKÓW,EMERYTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,TAK,NIE,NIE,TAK,TAK,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,10.0,NIE ZMIENIŁA SIĘ
3669,M PONIŻEJ 20 TYS.,PRACOWNIKÓW,RENCISTÓW,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA,TAK,TAK,TAK,NIE,NIE,NIE,NIE,NIE,TAK,TAK,TAK,NIE,TAK,TAK,WE FRANKACH SZWAJCARSKICH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,23.0,NIE ZMIENIŁA SIĘ
3724,M 20-100 TYS.,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,40.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,4.0,POGORSZYŁA SIĘ
3750,WIEŚ,ROLNIKÓW,UTRZ. SIĘ Z NIEZAROBKOWYCH ŹRÓDEŁ,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW,TAK,TAK,TAK,NIE,NIE,TAK,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,,POWYŻEJ 3-MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,3.0,NIE ZMIENIŁA SIĘ
3819,M 100-200 TYS.,PRACOWNIKÓW,RENCISTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,TAK,NIE,NIE,TAK,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,30.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,3.0,NIE ZMIENIŁA SIĘ
3989,M 200-500 TYS.,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,TAK,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,52.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,19.0,POPRAWIŁA SIĘ
4047,WIEŚ,PRACOWNIKÓW,RENCISTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,40.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,3.0,NIE ZMIENIŁA SIĘ
4052,WIEŚ,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,22.0,POGORSZYŁA SIĘ
4131,M 200-500 TYS.,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,W ZŁOTYCH,10.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,10.0,NIE ZMIENIŁA SIĘ
4425,M 20-100 TYS.,EMERYTÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,3.0,POGORSZYŁA SIĘ
4517,M 200-500 TYS.,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,RENCISTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,WE FRANKACH SZWAJCARSKICH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,POWYŻEJ 50 PROC.,CO NAJMNIEJ ROK,25.0,POGORSZYŁA SIĘ
4642,WIEŚ,PRACUJĄCYCH NA WŁASNY RACHUNEK,ROLNIKÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,0.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,6.0,NIE ZMIENIŁA SIĘ
4644,WIEŚ,EMERYTÓW,ROLNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,70.0,,POWYŻEJ 50 PROC.,CO NAJMNIEJ ROK,2.0,POGORSZYŁA SIĘ
4839,M 500 TYS. +,PRACOWNIKÓW,PRACOWNIKÓW,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW,TAK,TAK,TAK,NIE,NIE,TAK,TAK,TAK,TAK,NIE,TAK,TAK,TAK,NIE,W ZŁOTYCH,50.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,7.0,POPRAWIŁA SIĘ
5082,M 100-200 TYS.,PRACOWNIKÓW,ROLNIKÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,7.0,POPRAWIŁA SIĘ
5089,M PONIŻEJ 20 TYS.,PRACOWNIKÓW,ROLNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,,,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,5.0,NIE ZMIENIŁA SIĘ
5380,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,20.0,NIE ZMIENIŁA SIĘ
5472,WIEŚ,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,ROLNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,10.0,NIE ZMIENIŁA SIĘ
5616,M 200-500 TYS.,PRACOWNIKÓW,PRACOWNIKÓW,TRUDNO POWIEDZIEĆ,TAK,TAK,NIE,NIE,NIE,TAK,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,POWYŻEJ 50 PROC.,CO NAJMNIEJ ROK,15.0,NIE ZMIENIŁA SIĘ
5736,WIEŚ,PRACOWNIKÓW,UTRZ. SIĘ Z NIEZAROBKOWYCH ŹRÓDEŁ,,,,,,,,,,,,,,,,W ZŁOTYCH,40.0,,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,25.0,POGORSZYŁA SIĘ
5770,WIEŚ,ROLNIKÓW,UTRZ. SIĘ Z NIEZAROBKOWYCH ŹRÓDEŁ,,,,,,,,,,,,,,,,W ZŁOTYCH,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,10.0,POGORSZYŁA SIĘ
5780,WIEŚ,PRACUJĄCYCH NA WŁASNY RACHUNEK,UTRZ. SIĘ Z NIEZAROBKOWYCH ŹRÓDEŁ,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,TAK,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,TAK,TAK,NIE,TAK,NIE,W ZŁOTYCH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,20.0,POPRAWIŁA SIĘ
5869,M 20-100 TYS.,EMERYTÓW,PRACOWNIKÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,0.0,,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,5.0,NIE ZMIENIŁA SIĘ
5884,WIEŚ,PRACOWNIKÓW,RENCISTÓW,,,,,,,,,,,,,,,,WE FRANKACH SZWAJCARSKICH,70.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,20.0,POPRAWIŁA SIĘ
5936,M 500 TYS. +,EMERYTÓW,ROLNIKÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,14.0,NIE ZMIENIŁA SIĘ
6002,M 20-100 TYS.,PRACOWNIKÓW,ROLNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,90.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,2.0,POPRAWIŁA SIĘ
6127,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,TAK,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 40 I 50 PROC.,CO NAJMNIEJ ROK,18.0,POGORSZYŁA SIĘ
6129,M 500 TYS. +,PRACUJĄCYCH NA WŁASNY RACHUNEK,EMERYTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,5.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,20.0,POGORSZYŁA SIĘ
6327,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,TAK,NIE,TAK,TAK,TAK,NIE,NIE,NIE,TAK,TAK,TAK,NIE,TAK,NIE,WE FRANKACH SZWAJCARSKICH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,25.0,POPRAWIŁA SIĘ
6381,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,TAK,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,TAK,WE FRANKACH SZWAJCARSKICH,25.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,30.0,POGORSZYŁA SIĘ
6560,WIEŚ,ROLNIKÓW,7.0,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,W ZŁOTYCH,50.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,6.0,NIE ZMIENIŁA SIĘ
6619,M 200-500 TYS.,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,EMERYTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,40.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,10.0,POGORSZYŁA SIĘ
