league,player_id,salary,season,season_end,season_start,team
NBA,crispjo01,48705,2001-02,2002,2001,Los Angeles Lakers
NBA,critewi01,100000,1987-88,1988,1987,Phoenix Suns
NBA,critewi01,125000,1988-89,1989,1988,Phoenix Suns
NBA,crittja01,1285200,2007-08,2008,2007,Memphis Grizzlies
NBA,crittja01,1381560,2008-09,2009,2008,Washington Wizards
NBA,crittja01,1477920,2009-10,2010,2009,Washington Wizards
NBA,croshau01,1165440,1997-98,1998,1997,Indiana Pacers
NBA,croshau01,1340000,1998-99,1999,1998,Indiana Pacers
NBA,croshau01,1515120,1999-00,2000,1999,Indiana Pacers
NBA,croshau01,5300000,2000-01,2001,2000,Indiana Pacers
NBA,croshau01,6310000,2001-02,2002,2001,Indiana Pacers
NBA,croshau01,6960000,2002-03,2003,2002,Indiana Pacers
NBA,croshau01,7610000,2003-04,2004,2003,Indiana Pacers
NBA,croshau01,8260000,2004-05,2005,2004,Indiana Pacers
NBA,croshau01,7900000,2005-06,2006,2005,Indiana Pacers
NBA,croshau01,7300000,2006-07,2007,2006,Dallas Mavericks
NBA,croshau01,1219590,2007-08,2008,2007,Golden State Warriors
NBA,croshau01,527185,2008-09,2009,2008,Milwaukee Bucks
NBA,croshau01,74251,2008-09,2009,2008,San Antonio Spurs
NBA,crottjo01,140000,1992-93,1993,1992,Utah Jazz
NBA,crottjo01,200000,1993-94,1994,1993,Utah Jazz
NBA,crottjo01,250000,1994-95,1995,1994,Utah Jazz
NBA,crottjo01,350000,1995-96,1996,1995,Cleveland Cavaliers
NBA,crottjo01,420000,1997-98,1998,1997,Portland Trail Blazers
NBA,crottjo01,600000,1998-99,1999,1998,Seattle SuperSonics
NBA,crottjo01,504000,1998-99,1999,1998,Portland Trail Blazers
NBA,crottjo01,760000,1999-00,2000,1999,Portland Trail Blazers
NBA,crottjo01,477000,1999-00,2000,1999,Detroit Pistons
NBA,crottjo01,800000,2000-01,2001,2000,Utah Jazz
NBA,crottjo01,1000000,2001-02,2002,2001,Utah Jazz
NBA,crottjo01,138171,2002-03,2003,2002,Denver Nuggets
NBA,crowdco01,130000,1991-92,1992,1991,Utah Jazz
NBA,crowdco01,250000,1992-93,1993,1992,Utah Jazz
NBA,crowdco01,142982,1994-95,1995,1994,San Antonio Spurs
NBA,crowdja01,600491,2012-13,2013,2012,Dallas Mavericks
NBA,crowdja01,788872,2013-14,2014,2013,Dallas Mavericks
NBA,crowdja01,915243,2014-15,2015,2014,Boston Celtics
NBA,crowdja01,6000000,2015-16,2016,2015,Boston Celtics
NBA,crowdja01,6286408,2016-17,2017,2016,Boston Celtics
NBA,crowdja01,6796117,2017-18,2018,2017,Utah Jazz
NBA,cummipa01,800000,1984-85,1985,1984,New York Knicks
NBA,cummipa01,612500,1985-86,1986,1985,New York Knicks
NBA,cummipa01,712000,1987-88,1988,1987,New York Knicks
NBA,cummipa01,525000,1988-89,1989,1988,Miami Heat
NBA,cummite01,410000,1984-85,1985,1984,Milwaukee Bucks
NBA,cummite01,633000,1985-86,1986,1985,Milwaukee Bucks
NBA,cummite01,1330000,1987-88,1988,1987,Milwaukee Bucks
NBA,cummite01,1400000,1988-89,1989,1988,Milwaukee Bucks
NBA,cummite01,1700000,1989-90,1990,1989,San Antonio Spurs
NBA,cummite01,1860000,1990-91,1991,1990,San Antonio Spurs
NBA,cummite01,1861000,1991-92,1992,1991,San Antonio Spurs
NBA,cummite01,2407000,1992-93,1993,1992,San Antonio Spurs
NBA,cummite01,2407000,1993-94,1994,1993,San Antonio Spurs
NBA,cummite01,2406600,1994-95,1995,1994,San Antonio Spurs
NBA,cummite01,650000,1995-96,1996,1995,Milwaukee Bucks
NBA,cummite01,1000000,1997-98,1998,1997,Philadelphia 76ers
NBA,cummite01,1150000,1998-99,1999,1998,Golden State Warriors
NBA,cummite01,2600000,1999-00,2000,1999,Golden State Warriors
NBA,cummite01,2200000,2000-01,2001,2000,Golden State Warriors
NBA,cummivo01,704400,1999-00,2000,1999,Golden State Warriors
NBA,cummivo01,757200,2000-01,2001,2000,Golden State Warriors
NBA,cummivo01,810000,2001-02,2002,2001,Philadelphia 76ers
NBA,cunnida01,457588,2009-10,2010,2009,Portland Trail Blazers
NBA,cunnida01,762195,2010-11,2011,2010,Charlotte Bobcats
NBA,cunnida01,2000000,2011-12,2012,2011,Memphis Grizzlies
NBA,cunnida01,2090000,2012-13,2013,2012,Minnesota Timberwolves
NBA,cunnida01,2180000,2013-14,2014,2013,Minnesota Timberwolves
NBA,cunnida01,831942,2014-15,2015,2014,New Orleans Pelicans
NBA,cunnida01,3000000,2015-16,2016,2015,New Orleans Pelicans
NBA,cunnida01,2978250,2016-17,2017,2016,New Orleans Pelicans
NBA,cunnida01,2300000,2017-18,2018,2017,Brooklyn Nets
NBA,cunnija01,1156320,2012-13,2013,2012,Dallas Mavericks
NBA,cunnija01,1208400,2013-14,2014,2013,Atlanta Hawks
NBA,cunnija01,981348,2015-16,2016,2015,Orlando Magic
NBA,cunnija01,57726,2015-16,2016,2015,Milwaukee Bucks
NBA,cunniwi01,50000,1997-98,1998,1997,Phoenix Suns
NBA,cunniwi01,350000,1998-99,1999,1998,New Jersey Nets
NBA,cunniwi01,498500,2000-01,2001,2000,Vancouver Grizzlies
NBA,curcira01,140000,1992-93,1993,1992,Dallas Mavericks
NBA,curetea01,200000,1984-85,1985,1984,Detroit Pistons
NBA,curetea01,210000,1985-86,1986,1985,Detroit Pistons
NBA,curetea01,265000,1987-88,1988,1987,Los Angeles Clippers
NBA,curetea01,180000,1988-89,1989,1988,Charlotte Hornets
NBA,curetea01,205200,1996-97,1997,1996,Toronto Raptors
NBA,curlebi01,702000,1994-95,1995,1994,Detroit Pistons
NBA,curlebi01,913000,1995-96,1996,1995,Portland Trail Blazers
NBA,curlebi01,1123000,1996-97,1997,1996,Minnesota Timberwolves
NBA,curlebi01,1333800,1997-98,1998,1997,Minnesota Timberwolves
NBA,curlebi01,1544000,1998-99,1999,1998,Minnesota Timberwolves
NBA,curlebi01,117867,1999-00,2000,1999,Golden State Warriors
NBA,curlebi01,611000,2000-01,2001,2000,Golden State Warriors
NBA,curlebi01,423500,2000-01,2001,2000,Dallas Mavericks
NBA,curryde01,250000,1987-88,1988,1987,Cleveland Cavaliers
NBA,curryde01,285000,1988-89,1989,1988,Charlotte Hornets
NBA,curryde01,900000,1990-91,1991,1990,Charlotte Hornets
NBA,curryde01,1006000,1991-92,1992,1991,Charlotte Hornets
NBA,curryde01,750000,1992-93,1993,1992,Charlotte Hornets
NBA,curryde01,1040000,1993-94,1994,1993,Charlotte Hornets
NBA,curryde01,1340000,1994-95,1995,1994,Charlotte Hornets
NBA,curryde01,1570000,1995-96,1996,1995,Charlotte Hornets
NBA,curryde01,1830000,1996-97,1997,1996,Charlotte Hornets
NBA,curryde01,3660000,1997-98,1998,1997,Charlotte Hornets
NBA,curryde01,1000000,1998-99,1999,1998,Milwaukee Bucks
NBA,curryde01,2100000,1999-00,2000,1999,Toronto Raptors
NBA,curryde01,2000000,2000-01,2001,2000,Toronto Raptors
NBA,curryde01,2100000,2001-02,2002,2001,Toronto Raptors
NBA,curryed01,2678400,2001-02,2002,2001,Chicago Bulls
NBA,curryed01,2879280,2002-03,2003,2002,Chicago Bulls
NBA,curryed01,3080160,2003-04,2004,2003,Chicago Bulls
NBA,curryed01,3896402,2004-05,2005,2004,Chicago Bulls
NBA,curryed01,7390000,2005-06,2006,2005,New York Knicks
NBA,curryed01,8171103,2006-07,2007,2006,New York Knicks
NBA,curryed01,8947543,2007-08,2008,2007,New York Knicks
NBA,curryed01,9723983,2008-09,2009,2008,New York Knicks
NBA,curryed01,10500423,2009-10,2010,2009,New York Knicks
NBA,curryed01,11530592,2010-11,2011,2010,Minnesota Timberwolves
NBA,curryed01,1229255,2011-12,2012,2011,Miami Heat
NBA,curryed01,23852,2012-13,2013,2012,Dallas Mavericks
NBA,curryja01,427163,2007-08,2008,2007,Chicago Bulls
NBA,curryja01,26917,2009-10,2010,2009,Los Angeles Clippers
NBA,currymi01,150000,1993-94,1994,1993,Philadelphia 76ers
NBA,currymi01,400000,1996-97,1997,1996,Detroit Pistons
NBA,currymi01,500000,1997-98,1998,1997,Milwaukee Bucks
NBA,currymi01,550000,1998-99,1999,1998,Milwaukee Bucks
NBA,currymi01,2000000,1999-00,2000,1999,Detroit Pistons
NBA,currymi01,2200000,2000-01,2001,2000,Detroit Pistons
NBA,currymi01,2400000,2001-02,2002,2001,Detroit Pistons
NBA,currymi01,2600000,2002-03,2003,2002,Detroit Pistons
NBA,currymi01,2800000,2003-04,2004,2003,Toronto Raptors
NBA,currymi01,845122,2004-05,2005,2004,Indiana Pacers
NBA,curryse01,100000,2014-15,2015,2014,Orlando Magic
NBA,curryse01,48028,2014-15,2015,2014,Phoenix Suns
NBA,curryse01,947276,2015-16,2016,2015,Sacramento Kings
NBA,curryse01,2898000,2016-17,2017,2016,Dallas Mavericks
NBA,curryse01,3028410,2017-18,2018,2017,Dallas Mavericks
NBA,curryst01,2710560,2009-10,2010,2009,Golden State Warriors
NBA,curryst01,2913840,2010-11,2011,2010,Golden State Warriors
NBA,curryst01,3117120,2011-12,2012,2011,Golden State Warriors
NBA,curryst01,3958742,2012-13,2013,2012,Golden State Warriors
NBA,curryst01,9887642,2013-14,2014,2013,Golden State Warriors
NBA,curryst01,10629213,2014-15,2015,2014,Golden State Warriors
NBA,curryst01,11370786,2015-16,2016,2015,Golden State Warriors
NBA,curryst01,12112359,2016-17,2017,2016,Golden State Warriors
NBA,curryst01,34682550,2017-18,2018,2017,Golden State Warriors
NBA,cvetkra01,200000,1995-96,1996,1995,Denver Nuggets
NBA,dailequ01,410000,1984-85,1985,1984,Chicago Bulls
NBA,dailequ01,325000,1985-86,1986,1985,Chicago Bulls
NBA,dailequ01,135000,1987-88,1988,1987,Los Angeles Clippers
NBA,dailequ01,425000,1988-89,1989,1988,Los Angeles Clippers
NBA,dailequ01,425000,1990-91,1991,1990,Seattle SuperSonics
NBA,dailequ01,425000,1991-92,1992,1991,Seattle SuperSonics
NBA,dalemsa01,771480,2001-02,2002,2001,Philadelphia 76ers
NBA,dalemsa01,691100,2002-03,2003,2002,Philadelphia 76ers
NBA,dalemsa01,887160,2003-04,2004,2003,Philadelphia 76ers
NBA,dalemsa01,1599549,2004-05,2005,2004,Philadelphia 76ers
NBA,dalemsa01,8470000,2005-06,2006,2005,Philadelphia 76ers
NBA,dalemsa01,9464307,2006-07,2007,2006,Philadelphia 76ers
NBA,dalemsa01,10250000,2007-08,2008,2007,Philadelphia 76ers
NBA,dalemsa01,11238564,2008-09,2009,2008,Philadelphia 76ers
NBA,dalemsa01,12025694,2009-10,2010,2009,Philadelphia 76ers
NBA,dalemsa01,13428129,2010-11,2011,2010,Sacramento Kings
NBA,dalemsa01,7000000,2011-12,2012,2011,Houston Rockets
NBA,dalemsa01,6698565,2012-13,2013,2012,Milwaukee Bucks
NBA,dalemsa01,3700748,2013-14,2014,2013,Dallas Mavericks
NBA,dalemsa01,3867282,2014-15,2015,2014,New York Knicks
NBA,dalemsa01,1499187,2015-16,2016,2015,Dallas Mavericks
NBA,dampier01,1184000,1996-97,1997,1996,Indiana Pacers
NBA,dampier01,1478880,1997-98,1998,1997,Golden State Warriors
NBA,dampier01,1538000,1998-99,1999,1998,Golden State Warriors
NBA,dampier01,4988000,1999-00,2000,1999,Golden State Warriors
NBA,dampier01,5610000,2000-01,2001,2000,Golden State Warriors
NBA,dampier01,6235000,2001-02,2002,2001,Golden State Warriors
NBA,dampier01,6858500,2002-03,2003,2002,Golden State Warriors
NBA,dampier01,7842000,2003-04,2004,2003,Golden State Warriors
NBA,dampier01,7700000,2004-05,2005,2004,Dallas Mavericks
NBA,dampier01,8662500,2005-06,2006,2005,Dallas Mavericks
NBA,dampier01,9628000,2006-07,2007,2006,Dallas Mavericks
NBA,dampier01,10590500,2007-08,2008,2007,Dallas Mavericks
NBA,dampier01,11553000,2008-09,2009,2008,Dallas Mavericks
NBA,dampier01,12115500,2009-10,2010,2009,Dallas Mavericks
NBA,dampier01,1129469,2010-11,2011,2010,Miami Heat
NBA,dampier01,850522,2011-12,2012,2011,Atlanta Hawks
NBA,daniean01,2149920,1997-98,1998,1997,Vancouver Grizzlies
NBA,daniean01,2472000,1998-99,1999,1998,San Antonio Spurs
NBA,daniean01,2794920,1999-00,2000,1999,San Antonio Spurs
NBA,daniean01,2820000,2000-01,2001,2000,San Antonio Spurs
NBA,daniean01,3000000,2001-02,2002,2001,San Antonio Spurs
NBA,daniean01,3375000,2002-03,2003,2002,Portland Trail Blazers
NBA,daniean01,2200000,2003-04,2004,2003,Seattle SuperSonics
NBA,daniean01,2200000,2004-05,2005,2004,Seattle SuperSonics
NBA,daniean01,5000000,2005-06,2006,2005,Washington Wizards
NBA,daniean01,5400000,2006-07,2007,2006,Washington Wizards
NBA,daniean01,5800000,2007-08,2008,2007,Washington Wizards
NBA,daniean01,6200000,2008-09,2009,2008,New Orleans Hornets
NBA,daniean01,5863580,2009-10,2010,2009,Minnesota Timberwolves
NBA,danieer01,385277,2004-05,2005,2004,Sacramento Kings
NBA,daniell01,140000,1992-93,1993,1992,San Antonio Spurs
NBA,daniell01,182000,1993-94,1994,1993,San Antonio Spurs
NBA,daniell01,250000,1994-95,1995,1994,San Antonio Spurs
NBA,daniell01,11400,1994-95,1995,1994,Philadelphia 76ers
NBA,daniell01,184100,1996-97,1997,1996,New Jersey Nets
NBA,daniema01,366931,2003-04,2004,2003,Dallas Mavericks
NBA,daniema01,4903000,2004-05,2005,2004,Dallas Mavericks
NBA,daniema01,5393300,2005-06,2006,2005,Dallas Mavericks
NBA,daniema01,5883600,2006-07,2007,2006,Indiana Pacers
NBA,daniema01,6373900,2007-08,2008,2007,Indiana Pacers
NBA,daniema01,6864200,2008-09,2009,2008,Indiana Pacers
NBA,daniema01,1990000,2009-10,2010,2009,Boston Celtics
NBA,daniema01,2470000,2010-11,2011,2010,Sacramento Kings
NBA,daniema01,1223166,2011-12,2012,2011,Boston Celtics
NBA,daniema01,1229255,2012-13,2013,2012,Milwaukee Bucks
NBA,danietr01,816482,2014-15,2015,2014,Charlotte Hornets
NBA,danietr01,947276,2015-16,2016,2015,Charlotte Hornets
NBA,danietr01,3332940,2016-17,2017,2016,Memphis Grizzlies
NBA,danietr01,3408520,2017-18,2018,2017,Phoenix Suns
NBA,danilsa01,1455000,1995-96,1996,1995,Miami Heat
NBA,danilsa01,1892000,1996-97,1997,1996,Miami Heat
NBA,dantlad01,515000,1984-85,1985,1984,Utah Jazz
NBA,dantlad01,950000,1985-86,1986,1985,Utah Jazz
NBA,dantlad01,950000,1987-88,1988,1987,Detroit Pistons
NBA,dantlad01,1250000,1988-89,1989,1988,Detroit Pistons
NBA,dantlad01,400000,1990-91,1991,1990,Milwaukee Bucks
NBA,dareyi01,920000,1994-95,1995,1994,New Jersey Nets
NBA,dareyi01,1184000,1995-96,1996,1995,New Jersey Nets
NBA,dareyi01,1448000,1996-97,1997,1996,New Jersey Nets
NBA,dareyi01,1552500,1997-98,1998,1997,New Jersey Nets
NBA,dareyi01,1657000,1998-99,1999,1998,Orlando Magic
NBA,dareyi01,1893500,1999-00,2000,1999,Orlando Magic
NBA,datomlu01,1750000,2014-15,2015,2014,Boston Celtics
NBA,daughbr01,887500,1987-88,1988,1987,Cleveland Cavaliers
NBA,daughbr01,987500,1988-89,1989,1988,Cleveland Cavaliers
NBA,daughbr01,1100000,1989-90,1990,1989,Cleveland Cavaliers
NBA,daughbr01,1320000,1990-91,1991,1990,Cleveland Cavaliers
NBA,daughbr01,2245000,1991-92,1992,1991,Cleveland Cavaliers
NBA,daughbr01,2923000,1992-93,1993,1992,Cleveland Cavaliers
NBA,daughbr01,3541000,1993-94,1994,1993,Cleveland Cavaliers
NBA,daughbr01,3800000,1994-95,1995,1994,Cleveland Cavaliers
NBA,daughbr01,4700000,1995-96,1996,1995,Cleveland Cavaliers
NBA,davidko01,287500,1998-99,1999,1998,Chicago Bulls
NBA,davidko01,175882,1999-00,2000,1999,Chicago Bulls
NBA,davidko01,27059,1999-00,2000,1999,Cleveland Cavaliers
NBA,davidko01,498500,2000-01,2001,2000,Toronto Raptors
NBA,davidje01,427163,2007-08,2008,2007,Charlotte Bobcats
NBA,davidje01,422725,2008-09,2009,2008,Golden State Warriors
NBA,davisan02,5144280,2012-13,2013,2012,New Orleans Hornets
NBA,davisan02,5375760,2013-14,2014,2013,New Orleans Pelicans
NBA,davisan02,5607240,2014-15,2015,2014,New Orleans Pelicans
NBA,davisan02,7070730,2015-16,2016,2015,New Orleans Pelicans
NBA,davisan02,22116750,2016-17,2017,2016,New Orleans Pelicans
NBA,davisan02,23775506,2017-18,2018,2017,New Orleans Pelicans
NBA,davisan01,565000,1993-94,1994,1993,Indiana Pacers
NBA,davisan01,700000,1994-95,1995,1994,Indiana Pacers
NBA,davisan01,800000,1995-96,1996,1995,Indiana Pacers
NBA,davisan01,5200000,1996-97,1997,1996,Indiana Pacers
NBA,davisan01,4500000,1997-98,1998,1997,Indiana Pacers
NBA,davisan01,3500000,1998-99,1999,1998,Indiana Pacers
NBA,davisan01,4200000,1999-00,2000,1999,Toronto Raptors
NBA,davisan01,5500000,2000-01,2001,2000,Toronto Raptors
NBA,davisan01,11000000,2001-02,2002,2001,Toronto Raptors
NBA,davisan01,12000000,2002-03,2003,2002,Toronto Raptors
NBA,davisan01,12925000,2003-04,2004,2003,Chicago Bulls
NBA,davisan01,12925000,2004-05,2005,2004,Chicago Bulls
NBA,davisan01,13925000,2005-06,2006,2005,New York Knicks
NBA,davisba01,2712480,1999-00,2000,1999,Charlotte Hornets
NBA,davisba01,2916000,2000-01,2001,2000,Charlotte Hornets
NBA,davisba01,3119400,2001-02,2002,2001,Charlotte Hornets
NBA,davisba01,3942922,2002-03,2003,2002,New Orleans Hornets
NBA,davisba01,10960000,2003-04,2004,2003,New Orleans Hornets
NBA,davisba01,12330000,2004-05,2005,2004,New Orleans Hornets
NBA,davisba01,13700000,2005-06,2006,2005,Golden State Warriors
NBA,davisba01,15070000,2006-07,2007,2006,Golden State Warriors
NBA,davisba01,16440000,2007-08,2008,2007,Golden State Warriors
NBA,davisba01,11250000,2008-09,2009,2008,Los Angeles Clippers
NBA,davisba01,12150000,2009-10,2010,2009,Los Angeles Clippers
NBA,davisba01,13000000,2010-11,2011,2010,Cleveland Cavaliers
NBA,davisba01,13900000,2011-12,2012,2011,Cleveland Cavaliers
NBA,davisba01,1352181,2011-12,2012,2011,New York Knicks
NBA,davisba01,14850000,2012-13,2013,2012,Cleveland Cavaliers
NBA,davisbe01,220000,1996-97,1997,1996,Phoenix Suns
NBA,davisbe01,25000,1997-98,1998,1997,Miami Heat
NBA,davisbe01,425000,1998-99,1999,1998,New York Knicks
NBA,davisbe01,45847,1999-00,2000,1999,Phoenix Suns
NBA,davisbe01,176369,2003-04,2004,2003,Houston Rockets
NBA,davisbr01,210000,1984-85,1985,1984,Dallas Mavericks
NBA,davisbr01,215000,1985-86,1986,1985,Dallas Mavericks
NBA,davisbr01,243100,1987-88,1988,1987,Dallas Mavericks
NBA,davisbr01,300000,1988-89,1989,1988,Dallas Mavericks
NBA,davisbr01,600000,1990-91,1991,1990,Dallas Mavericks
NBA,davisbr01,600000,1991-92,1992,1991,Dallas Mavericks
NBA,davisbr02,150000,1993-94,1994,1993,Minnesota Timberwolves
NBA,davisch02,90000,1985-86,1986,1985,Milwaukee Bucks
NBA,davisch02,150000,1988-89,1989,1988,Chicago Bulls
NBA,davisda01,430000,1991-92,1992,1991,Indiana Pacers
NBA,davisda01,559000,1992-93,1993,1992,Indiana Pacers
NBA,davisda01,688000,1993-94,1994,1993,Indiana Pacers
NBA,davisda01,4050000,1994-95,1995,1994,Indiana Pacers
NBA,davisda01,4050000,1995-96,1996,1995,Indiana Pacers
NBA,davisda01,6508000,1996-97,1997,1996,Indiana Pacers
NBA,davisda01,5273333,1997-98,1998,1997,Indiana Pacers
NBA,davisda01,4038000,1998-99,1999,1998,Indiana Pacers
NBA,davisda01,4490000,1999-00,2000,1999,Indiana Pacers
NBA,davisda01,6000000,2000-01,2001,2000,Portland Trail Blazers
NBA,davisda01,7010000,2001-02,2002,2001,Portland Trail Blazers
NBA,davisda01,8055000,2002-03,2003,2002,Portland Trail Blazers
NBA,davisda01,9061875,2003-04,2004,2003,Portland Trail Blazers
NBA,davisda01,10068750,2004-05,2005,2004,Golden State Warriors
NBA,davisda01,3500000,2005-06,2006,2005,Detroit Pistons
NBA,davisda01,3500000,2006-07,2007,2006,Detroit Pistons
NBA,davisde01,1369229,2016-17,2017,2016,Memphis Grizzlies
NBA,davisde01,1312611,2017-18,2018,2017,Memphis Grizzlies
NBA,davised01,1919160,2010-11,2011,2010,Toronto Raptors
NBA,davised01,2063040,2011-12,2012,2011,Toronto Raptors
NBA,davised01,2207040,2012-13,2013,2012,Memphis Grizzlies
NBA,davised01,3153860,2013-14,2014,2013,Memphis Grizzlies
NBA,davised01,981084,2014-15,2015,2014,Los Angeles Lakers
NBA,davised01,7000000,2015-16,2016,2015,Portland Trail Blazers
NBA,davised01,6666667,2016-17,2017,2016,Portland Trail Blazers
NBA,davised01,6352531,2017-18,2018,2017,Portland Trail Blazers
NBA,davisem01,220000,1996-97,1997,1996,Houston Rockets
NBA,davisem01,326700,1997-98,1998,1997,Houston Rockets
NBA,davisem01,510000,1999-00,2000,1999,Seattle SuperSonics
NBA,davisem01,610000,2000-01,2001,2000,Seattle SuperSonics
NBA,davisem01,715850,2001-02,2002,2001,Atlanta Hawks
NBA,davisem01,824935,2002-03,2003,2002,Atlanta Hawks
NBA,davisgl01,427163,2007-08,2008,2007,Boston Celtics
NBA,davisgl01,711517,2008-09,2009,2008,Boston Celtics
NBA,davisgl01,3000000,2009-10,2010,2009,Boston Celtics
NBA,davisgl01,3300000,2010-11,2011,2010,Boston Celtics
NBA,davisgl01,6300000,2011-12,2012,2011,Orlando Magic
NBA,davisgl01,6400000,2012-13,2013,2012,Orlando Magic
NBA,davisgl01,6400000,2013-14,2014,2013,Orlando Magic
NBA,davisgl01,6600000,2014-15,2015,2014,Orlando Magic
NBA,davisgl01,1227985,2014-15,2015,2014,Los Angeles Clippers
NBA,davishu01,588000,1992-93,1993,1992,New York Knicks
NBA,davishu01,764000,1993-94,1994,1993,New York Knicks
NBA,davishu01,940000,1994-95,1995,1994,New York Knicks
NBA,davishu01,1116000,1995-96,1996,1995,New York Knicks
NBA,davishu01,1295000,1996-97,1997,1996,Toronto Raptors
NBA,davishu01,537500,1997-98,1998,1997,Dallas Mavericks
NBA,davishu01,645000,1998-99,1999,1998,Dallas Mavericks
NBA,davishu01,752500,1999-00,2000,1999,Dallas Mavericks
NBA,davishu01,2100000,2000-01,2001,2000,Dallas Mavericks
NBA,davishu01,2418750,2001-02,2002,2001,Washington Wizards
NBA,davishu01,2687500,2002-03,2003,2002,Detroit Pistons
NBA,davishu01,2956250,2003-04,2004,2003,Detroit Pistons
NBA,davisjo01,475000,1984-85,1985,1984,Cleveland Cavaliers
NBA,davisjo01,300000,1985-86,1986,1985,Cleveland Cavaliers
NBA,davisjo02,620046,2004-05,2005,2004,Philadelphia 76ers
NBA,davisjo02,131593,2005-06,2006,2005,Milwaukee Bucks
NBA,davisjo02,43864,2005-06,2006,2005,Phoenix Suns
NBA,davisjo02,17546,2005-06,2006,2005,Houston Rockets
NBA,davisjo02,314041,2011-12,2012,2011,Memphis Grizzlies
NBA,davisma02,200000,1995-96,1996,1995,Minnesota Timberwolves
NBA,davisma02,247500,1996-97,1997,1996,Philadelphia 76ers
NBA,davisma02,326700,1997-98,1998,1997,Philadelphia 76ers
NBA,davisma02,100000,1999-00,2000,1999,Miami Heat
NBA,davisma02,6000,1999-00,2000,1999,Golden State Warriors
NBA,davispa01,412718,2006-07,2007,2006,Los Angeles Clippers
NBA,davispa01,687456,2007-08,2008,2007,Los Angeles Clippers
NBA,davispa01,328416,2008-09,2009,2008,Los Angeles Clippers
NBA,davispa01,80488,2009-10,2010,2009,Washington Wizards
NBA,davisri01,680000,1998-99,1999,1998,Charlotte Hornets
NBA,davisri01,878160,1999-00,2000,1999,Charlotte Hornets
NBA,davisri01,939360,2000-01,2001,2000,Miami Heat
NBA,davisri01,1496400,2001-02,2002,2001,Cleveland Cavaliers
NBA,davisri01,4546000,2002-03,2003,2002,Cleveland Cavaliers
NBA,davisri01,5000600,2003-04,2004,2003,Boston Celtics
NBA,davisri01,5455200,2004-05,2005,2004,Boston Celtics
NBA,davisri01,5909800,2005-06,2006,2005,Boston Celtics
NBA,davisri01,6364400,2006-07,2007,2006,Minnesota Timberwolves
NBA,davisri01,6819000,2007-08,2008,2007,Miami Heat
NBA,davisri01,2300000,2008-09,2009,2008,Los Angeles Clippers
NBA,davisri01,2484000,2009-10,2010,2009,Los Angeles Clippers
NBA,daviste01,250000,1990-91,1991,1990,Miami Heat
NBA,daviste01,382000,1991-92,1992,1991,Dallas Mavericks
NBA,daviste01,1537000,1992-93,1993,1992,Dallas Mavericks
NBA,daviste01,1200000,1993-94,1994,1993,Dallas Mavericks
NBA,daviste01,1560000,1994-95,1995,1994,Dallas Mavericks
NBA,daviste01,1920000,1995-96,1996,1995,Dallas Mavericks
NBA,daviste01,2300000,1996-97,1997,1996,Dallas Mavericks
NBA,daviste01,272250,1997-98,1998,1997,Washington Wizards
NBA,daviste01,1750000,1998-99,1999,1998,Washington Wizards
NBA,daviste01,1925000,1999-00,2000,1999,Orlando Magic
NBA,daviste01,923500,2000-01,2001,2000,Denver Nuggets
NBA,daviswa03,670000,1984-85,1985,1984,Phoenix Suns
NBA,daviswa03,680000,1985-86,1986,1985,Phoenix Suns
NBA,daviswa03,750000,1987-88,1988,1987,Phoenix Suns
NBA,daviswa03,600000,1988-89,1989,1988,Denver Nuggets
NBA,daviswa03,900000,1990-91,1991,1990,Portland Trail Blazers
NBA,daviswa03,1000000,1991-92,1992,1991,Portland Trail Blazers
NBA,daviswa03,215000,1991-92,1992,1991,Denver Nuggets
NBA,dawkian01,59686,2014-15,2015,2014,Boston Celtics
NBA,dawkida01,768000,1984-85,1985,1984,New Jersey Nets
NBA,dawkida01,808000,1985-86,1986,1985,New Jersey Nets
NBA,dawkida01,858000,1986-87,1987,1986,New Jersey Nets
NBA,dawkida01,300000,1988-89,1989,1988,Detroit Pistons
NBA,dawkijo01,330000,1987-88,1988,1987,San Antonio Spurs
NBA,dawkijo01,480000,1988-89,1989,1988,San Antonio Spurs
NBA,dawkijo01,1500000,1990-91,1991,1990,Philadelphia 76ers
NBA,dawkijo01,1700000,1991-92,1992,1991,Philadelphia 76ers
NBA,dawkijo01,1900000,1992-93,1993,1992,Philadelphia 76ers
NBA,dawkijo01,2100000,1993-94,1994,1993,Philadelphia 76ers
NBA,dawkijo01,1680000,1994-95,1995,1994,Philadelphia 76ers
NBA,dawkijo01,150000,1994-95,1995,1994,Detroit Pistons
NBA,dawsobr01,525093,2015-16,2016,2015,Los Angeles Clippers
NBA,dawsoer01,38172,2011-12,2012,2011,San Antonio Spurs
NBA,dayto01,1325000,1992-93,1993,1992,Milwaukee Bucks
NBA,dayto01,1723000,1993-94,1994,1993,Milwaukee Bucks
NBA,dayto01,2120000,1994-95,1995,1994,Milwaukee Bucks
NBA,dayto01,2518000,1995-96,1996,1995,Boston Celtics
NBA,dayto01,2915000,1996-97,1997,1996,Boston Celtics
NBA,dayto01,272250,1997-98,1998,1997,Miami Heat
NBA,dayto01,510000,1999-00,2000,1999,Phoenix Suns
NBA,dayto01,736000,2000-01,2001,2000,Minnesota Timberwolves
NBA,dayeau01,1677840,2009-10,2010,2009,Detroit Pistons
