,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
16,Rodrigue Beaubois,2009,25,73.25,74.25,81.75,100.0,39.0,139.0,29.5,129.5,182.0,7.9,,,3.0,10.49,3.15
17,Taj Gibson,2009,26,80.5,81.75,88.0,109.0,30.0,139.0,25.5,134.5,214.0,6.6,,,12.0,11.56,3.41
18,DeMarre Carroll,2009,27,78.25,79.75,82.0,105.0,,,,,207.0,6.3,,,,,
19,Greivis Vasquez,2009,28,76.75,78.0,79.25,101.0,28.0,129.0,24.5,125.5,197.0,6.9,7.75,9.25,1.0,11.13,3.48
20,Wayne Ellington,2009,28,76.25,77.25,78.5,100.0,38.0,138.0,31.5,131.5,202.0,5.5,,,13.0,11.14,3.2
21,Toney Douglas,2009,29,73.0,74.0,78.0,97.5,32.5,130.0,28.0,125.5,183.0,5.2,,,15.0,10.63,3.03
22,James Harden,2009,3,76.0,77.25,82.75,103.5,37.0,140.5,31.5,135.0,222.0,10.1,,,17.0,11.1,3.13
23,Jeff Pendergraph,2009,31,80.75,82.0,85.0,107.0,35.0,142.0,31.0,138.0,240.0,5.5,,,15.0,11.98,3.14
24,Jermaine Taylor,2009,32,75.5,76.75,80.75,101.0,37.5,138.5,34.0,135.0,207.0,5.8,,,16.0,11.54,3.32
25,Dante Cunningham,2009,33,79.0,80.25,83.0,106.5,35.0,141.5,28.0,134.5,227.0,4.8,,,18.0,11.18,3.26
26,DaJuan Summers,2009,35,79.25,80.5,84.75,106.5,34.5,141.0,29.5,136.0,243.0,6.6,,,15.0,10.94,3.17
27,Sam Young,2009,36,77.25,78.75,82.75,105.5,33.0,138.5,27.5,133.0,223.0,4.9,,,,11.47,3.45
28,DeJuan Blair,2009,37,77.25,78.5,86.0,106.5,33.0,139.5,26.0,132.5,277.0,12.0,,,18.0,11.5,3.45
29,Tyreke Evans,2009,4,76.0,77.25,83.25,104.0,34.0,138.0,28.5,132.5,221.0,7.1,,,7.0,11.81,3.17
30,Derrick Brown,2009,40,79.5,80.5,86.5,107.5,35.5,143.0,30.5,138.0,225.0,8.6,,,20.0,11.26,3.13
31,Jodie Meeks,2009,41,75.0,76.0,76.5,98.0,37.0,135.0,28.5,126.5,211.0,8.0,,,14.0,10.96,3.1
32,Marcus Thornton,2009,43,74.75,75.75,77.0,99.0,33.0,132.0,31.0,130.0,194.0,4.8,,,14.0,10.73,3.28
33,Chase Budinger,2009,44,78.25,79.0,79.0,101.0,38.5,139.5,29.5,130.5,206.0,10.0,,,10.0,11.08,3.24
34,Danny Green,2009,46,77.25,78.5,82.0,103.0,33.0,136.0,29.0,132.0,208.0,5.6,,,15.0,11.3,3.3
35,Gani Lawal,2009,46,79.75,81.0,84.0,106.0,34.5,140.5,30.0,136.0,229.0,7.2,8.5,10.0,17.0,11.93,3.34
36,Jack McClinton,2009,51,71.75,72.75,74.5,96.0,36.5,132.5,30.0,126.0,185.0,6.2,,,13.0,10.44,3.21
37,A.J. Price,2009,52,72.5,74.0,75.75,97.0,31.0,128.0,26.0,123.0,193.0,12.4,,,11.0,10.99,3.22
38,Luke Harangody,2009,52,78.25,80.0,81.75,106.0,31.0,137.0,27.0,133.0,240.0,11.2,8.75,9.75,23.0,11.15,3.33
39,Patrick Mills,2009,55,71.25,72.5,74.0,95.0,33.0,128.0,27.5,122.5,175.0,6.9,,,8.0,10.87,3.1
40,Jonny Flynn,2009,6,71.25,72.75,76.0,95.5,40.0,135.5,33.0,128.5,196.0,6.3,,,10.0,10.86,3.23
41,Stephen Curry,2009,7,74.0,75.25,75.5,97.0,35.5,132.5,29.5,126.5,181.0,5.7,,,10.0,11.07,3.28
42,Jordan Hill,2009,8,81.25,82.25,85.5,108.0,35.0,143.0,31.0,139.0,232.0,6.0,,,11.0,12.23,3.3
43,Demar DeRozan,2009,9,77.5,78.5,81.0,102.5,38.5,141.0,29.0,131.5,211.0,4.9,,,5.0,11.88,3.31
44,Dionte Christmas,2009,,76.25,77.5,81.0,102.5,33.5,136.0,27.0,129.5,211.0,7.1,,,3.0,10.83,3.21
45,Jeff Adrien,2009,,77.25,78.5,86.0,107.5,31.5,139.0,27.5,135.0,236.0,7.9,,,16.0,11.34,3.32
46,Jerel McNeal,2009,,73.5,75.0,79.25,99.5,36.5,136.0,31.5,131.0,190.0,5.4,,,10.0,10.61,3.25
47,Joe Ingles,2009,,79.75,80.25,82.25,105.0,31.0,136.0,26.0,131.0,209.0,10.1,,,3.0,10.66,3.3
48,Josh Heytvelt,2009,,82.0,83.0,85.25,108.0,34.0,142.0,28.5,136.5,246.0,10.8,,,15.0,11.67,3.38
49,Tyler Smith,2009,,77.25,78.0,81.75,104.5,33.5,138.0,29.0,133.5,212.0,7.0,,,10.0,10.69,3.24
50,John Wall,2010,1,74.75,76.0,81.25,101.5,39.0,140.5,30.0,131.5,196.0,5.6,8.25,9.5,,10.84,3.14
51,Paul George,2010,10,79.75,80.75,83.25,107.0,,,,,214.0,5.0,8.5,9.0,4.0,,
52,Cole Aldrich,2010,11,81.0,83.25,88.75,111.5,28.0,139.5,23.0,134.5,236.0,8.5,9.0,9.25,10.0,11.48,3.35
53,Xavier Henry,2010,12,77.25,78.5,83.25,105.0,36.5,141.5,28.5,133.5,210.0,4.7,8.75,10.0,8.0,11.1,3.18
54,Ed Davis,2010,13,81.0,81.75,84.0,108.0,36.0,144.0,31.0,139.0,227.0,10.0,9.25,10.0,,11.7,3.21
55,Patrick Patterson,2010,14,80.0,81.25,85.25,107.0,33.5,140.5,28.5,135.5,240.0,5.3,9.25,10.25,17.0,11.14,3.25
56,Larry Sanders,2010,15,81.25,82.5,89.75,112.0,28.0,140.0,25.5,137.5,222.0,4.6,9.75,11.0,7.0,12.49,3.27
57,Luke Babbitt,2010,16,79.5,80.75,83.25,104.5,37.5,142.0,29.5,134.0,218.0,5.6,8.5,10.0,15.0,10.98,3.4
58,Eric Bledsoe,2010,18,72.25,73.5,79.5,98.0,,,,,192.0,5.6,8.5,9.75,9.0,,
59,Avery Bradley,2010,19,74.0,75.25,79.25,98.5,37.5,136.0,31.5,130.0,180.0,4.0,8.25,9.5,2.0,11.47,3.14
60,Evan Turner,2010,2,77.75,79.0,80.0,103.5,34.5,138.0,27.5,131.0,214.0,8.6,8.75,9.5,9.0,11.06,3.27
61,James Anderson,2010,20,76.75,77.75,80.5,104.0,35.5,139.5,30.0,134.0,208.0,7.9,9.0,7.0,14.0,11.86,3.19
62,Craig Brackins,2010,21,80.5,81.75,84.0,109.0,35.0,144.0,26.0,135.0,229.0,7.9,9.5,11.25,6.0,11.65,3.39
63,Trevor Booker,2010,23,78.25,79.5,81.75,106.0,36.0,142.0,31.0,137.0,236.0,7.3,9.0,9.5,22.0,11.15,3.1
64,Dominique Jones,2010,25,75.25,77.0,81.25,101.0,32.5,133.5,26.0,127.0,216.0,5.9,9.0,10.25,19.0,10.88,3.31
65,Jordan Crawford,2010,27,75.0,76.5,79.0,101.0,34.5,135.5,31.5,132.5,198.0,4.9,8.0,9.0,7.0,11.03,3.37
66,Daniel Orton,2010,29,80.75,81.5,88.25,110.5,30.5,141.0,24.0,134.5,269.0,13.8,8.5,9.75,13.0,12.32,3.39
67,Derrick Favors,2010,3,80.75,82.25,88.0,110.0,35.5,145.5,31.5,141.5,245.0,6.5,8.75,9.25,14.0,11.74,3.25
68,Lazar Hayward,2010,30,76.5,77.75,84.75,102.0,36.0,138.0,31.0,133.0,226.0,7.5,9.25,9.5,15.0,10.87,3.31
69,Dexter Pittman,2010,32,81.5,83.5,90.0,111.0,,,,,303.0,20.8,10.25,10.5,,,
70,Hassan Whiteside,2010,33,82.5,83.5,91.0,113.0,31.5,144.5,27.0,140.0,227.0,5.5,8.25,10.25,12.0,11.83,3.54
71,Armon Johnson,2010,34,74.0,75.25,80.0,99.5,38.5,138.0,31.5,131.0,195.0,5.6,8.25,9.25,18.0,11.25,3.19
72,Terrico White,2010,36,75.75,77.0,81.0,101.0,40.0,141.0,31.0,132.0,203.0,3.7,9.0,10.5,10.0,11.38,3.15
73,Darington Hobson,2010,37,77.25,78.5,81.25,104.5,34.0,138.5,29.0,133.5,204.0,6.2,8.25,9.0,,11.68,3.25
74,Andy Rautins,2010,38,76.25,77.0,79.0,100.0,30.5,130.5,23.5,123.5,192.0,6.2,8.0,9.75,8.0,11.27,3.49
75,Wesley Johnson,2010,4,78.25,79.25,85.0,106.0,37.0,143.0,32.0,138.0,206.0,4.6,9.0,9.5,16.0,11.43,3.14
76,Lance Stephenson,2010,40,76.5,77.75,82.5,103.0,33.0,136.0,27.0,130.0,227.0,9.3,9.0,10.25,10.0,11.39,3.38
77,Jarvis Varnado,2010,41,80.25,82.0,87.5,109.5,32.5,142.0,29.5,139.0,210.0,9.5,9.25,9.5,3.0,11.61,3.37
78,Devin Ebanks,2010,43,79.0,80.25,84.25,107.5,32.0,139.5,23.5,131.0,208.0,7.9,8.25,9.0,6.0,11.69,3.44
79,Jerome Jordan,2010,44,83.5,84.75,89.25,113.0,,,,,244.0,6.9,9.0,10.25,,,
80,Tiny Gallon,2010,47,80.5,81.5,88.5,109.5,28.5,138.0,23.5,133.0,302.0,15.1,9.25,10.5,14.0,13.44,3.7
81,Ryan Richards,2010,49,82.5,83.75,85.5,110.0,28.5,138.5,25.0,135.0,230.0,8.0,9.0,9.75,4.0,11.33,3.37
82,DeMarcus Cousins,2010,5,81.5,82.75,89.75,113.0,27.5,140.5,23.5,136.5,292.0,16.4,9.25,10.0,,11.4,3.55
83,Solomon Alabi,2010,50,83.5,84.75,89.0,113.0,26.0,139.0,22.5,135.5,237.0,5.0,9.25,9.25,10.0,13.2,3.68
84,Willie Warren,2010,54,74.5,75.75,78.0,99.5,31.5,131.0,23.0,122.5,208.0,7.6,8.5,9.5,10.0,11.21,3.5
85,Derrick Caracter,2010,58,80.25,81.5,84.25,107.25,30.5,137.75,25.0,132.25,280.0,12.8,9.0,10.25,22.0,12.78,3.61
86,Stanley Robinson,2010,59,78.5,79.75,84.0,107.5,37.5,145.0,,,213.0,8.3,9.0,9.0,6.0,11.65,3.23
87,Ekpe Udoh,2010,6,80.75,81.75,88.5,106.5,33.5,140.0,31.0,137.5,237.0,8.0,9.5,8.75,10.0,11.15,3.29
88,Greg Monroe,2010,7,81.75,83.0,86.25,108.5,29.0,137.5,25.0,133.5,247.0,11.2,8.75,9.5,15.0,12.1,3.35
89,Al-Farouq Aminu,2010,8,79.25,80.5,87.25,108.5,33.5,142.0,27.0,135.5,216.0,8.2,9.5,9.5,13.0,11.29,3.3
90,Gordon Hayward,2010,9,78.75,80.0,79.75,103.0,34.5,137.5,30.5,133.5,211.0,6.9,8.5,9.25,10.0,11.73,3.22
91,Artsiom Parakhouski,2010,,82.25,83.75,85.0,109.5,26.5,136.0,25.5,135.0,268.0,6.0,9.0,10.5,16.0,12.07,3.33
92,Charles Garcia,2010,,80.25,81.25,85.75,107.5,30.5,138.0,24.5,132.0,232.0,7.0,8.75,9.0,2.0,11.65,3.23
93,Jon Scheyer,2010,,76.75,78.0,75.25,99.0,,,,,180.0,5.4,7.75,9.5,,,
94,Manny Harris,2010,,76.0,77.5,79.25,102.0,,,,,185.0,3.8,8.5,9.0,11.0,,
95,Mikhail Torrance,2010,,76.0,,78.75,101.75,32.0,133.75,23.0,124.75,207.0,,8.75,9.5,8.0,11.43,3.17
96,Sherron Collins,2010,,70.25,71.75,74.5,94.0,33.0,127.0,27.5,121.5,217.0,9.2,8.5,9.5,,12.31,3.24
97,Sylven Landesberg,2010,,76.75,78.25,81.0,100.5,32.0,132.5,28.0,128.5,210.0,11.6,8.75,10.75,8.0,11.59,3.36
98,Jimmer Fredette,2011,10,72.75,74.5,76.5,96.5,33.0,129.5,28.0,124.5,196.0,7.7,8.0,8.5,14.0,10.42,3.21
99,Klay Thompson,2011,11,77.75,79.25,81.0,103.5,31.5,135.0,26.5,130.0,206.0,8.0,8.75,9.25,5.0,10.99,3.24
100,Alec Burks,2011,12,77.0,78.0,82.0,103.5,36.0,139.5,29.0,132.5,193.0,5.1,9.0,8.25,5.0,10.96,3.17
101,Markieff Morris,2011,13,79.75,81.25,82.75,106.5,31.5,138.0,27.0,133.5,241.0,10.2,8.5,8.25,11.0,,3.4
102,Marcus Morris,2011,14,79.0,80.75,82.0,105.5,33.0,138.5,29.0,134.5,230.0,8.0,8.25,8.5,11.0,,3.15
103,Kawhi Leonard,2011,15,78.0,79.0,87.0,106.0,32.0,138.0,25.5,131.5,227.0,5.4,9.75,11.25,3.0,11.45,3.15
104,Nikola Vucevic,2011,16,82.25,83.75,88.5,112.5,25.0,137.5,23.5,136.0,260.0,6.1,9.25,10.25,8.0,12.02,3.27
105,Iman Shumpert,2011,17,76.25,77.5,81.5,99.5,42.0,141.5,36.5,136.0,222.0,6.5,9.0,9.0,18.0,11.1,3.18
106,Chris Singleton,2011,18,79.75,81.0,85.0,103.5,37.5,141.0,30.5,134.0,230.0,7.4,9.25,10.0,15.0,11.33,3.09
107,Tobias Harris,2011,19,78.5,79.75,83.0,103.5,37.5,141.0,31.5,135.0,223.0,8.4,8.75,9.0,12.0,10.96,3.17
108,Derrick Williams,2011,2,79.25,80.75,85.5,108.0,34.5,142.5,29.0,137.0,248.0,10.8,9.0,9.75,19.0,11.03,3.23
109,Nolan Smith,2011,21,73.5,75.5,77.5,99.0,34.0,133.0,28.5,127.5,188.0,5.6,8.5,9.25,9.0,11.05,3.17
110,Kenneth Faried,2011,22,78.0,79.5,84.0,108.0,35.0,143.0,30.5,138.5,225.0,6.3,8.5,10.25,16.0,11.35,3.26
111,Marshon Brooks,2011,25,76.25,77.25,85.0,101.0,38.5,139.5,34.0,135.0,195.0,5.2,9.0,10.5,5.0,10.74,3.09
112,Jordan Hamilton,2011,26,78.75,80.5,81.5,104.0,32.0,136.0,25.0,129.0,228.0,9.8,9.0,9.25,7.0,11.47,3.3
113,JaJuan Johnson (Purdue),2011,27,81.0,82.0,86.0,107.5,38.0,145.5,33.5,141.0,220.0,7.5,9.0,10.0,15.0,11.21,3.14
114,Norris Cole,2011,28,72.25,73.75,74.25,95.5,38.5,134.0,29.5,125.0,174.0,4.7,8.5,9.5,11.0,10.07,3.22
115,Cory Joseph,2011,29,74.0,75.25,77.5,99.0,35.0,134.0,27.5,126.5,186.0,9.7,8.5,10.5,5.0,10.75,3.27
116,Enes Kanter,2011,3,81.75,83.25,85.5,109.5,32.5,142.0,26.0,135.5,259.0,5.9,9.5,10.75,14.0,11.3,3.26
117,Jimmy Butler,2011,30,78.0,79.75,79.5,101.5,39.0,140.5,32.0,133.5,222.0,5.4,9.0,9.0,14.0,11.92,3.15
118,Justin Harper,2011,32,80.0,80.75,83.75,106.0,33.0,139.0,28.5,134.5,228.0,4.0,9.0,9.25,19.0,11.92,3.3
119,Kyle Singler,2011,33,79.5,80.5,82.1,106.0,30.0,136.0,23.0,129.0,228.0,10.0,8.25,8.75,10.0,11.22,3.21
120,Shelvin Mack,2011,34,73.0,74.5,79.5,96.5,39.0,135.5,32.0,128.5,209.0,7.1,8.25,9.25,17.0,11.23,3.18
121,Tyler Honeycutt,2011,35,78.75,80.25,81.0,105.0,37.0,142.0,30.0,135.0,187.0,5.3,8.5,9.5,,11.68,3.07
122,Jordan Williams,2011,36,79.75,81.0,84.25,106.5,30.5,137.0,25.0,131.5,247.0,12.1,9.25,10.0,10.0,12.74,3.45
123,Trey Thompkins,2011,37,80.5,81.75,85.0,107.5,30.5,138.0,27.5,135.0,239.0,15.5,9.25,9.75,15.0,11.72,3.41
124,Chandler Parsons,2011,38,80.75,81.75,81.5,104.5,31.5,136.0,25.5,130.0,221.0,7.0,8.25,10.0,4.0,11.05,3.29
125,Jeremy Tyler,2011,39,81.0,82.5,89.0,110.5,33.5,144.0,28.0,138.5,262.0,13.4,9.25,9.0,10.0,11.26,3.29
126,Tristan Thompson,2011,4,79.5,80.75,85.25,108.5,35.0,143.5,30.0,138.5,227.0,6.2,8.75,9.25,9.0,10.92,3.26
127,Jon Leuer,2011,40,82.0,83.5,84.0,105.5,36.5,142.0,29.5,135.0,223.0,5.4,8.75,9.75,17.0,10.82,3.36
128,Darius Morris,2011,41,75.25,77.25,79.5,102.0,32.0,134.0,24.5,126.5,190.0,5.3,8.75,10.0,12.0,11.0,3.2
129,Malcolm Lee,2011,43,76.0,77.5,81.75,101.5,35.5,137.0,30.0,131.5,198.0,5.9,8.5,9.5,17.0,11.2,3.09
130,Charles Jenkins,2011,44,73.5,75.25,79.5,96.5,34.0,130.5,29.5,126.0,216.0,4.3,8.5,9.0,16.0,11.68,3.18
131,Andrew Goudelock,2011,46,73.25,74.75,76.25,96.5,37.0,133.5,32.5,129.0,198.0,9.9,8.25,9.25,4.0,10.33,3.1
132,Travis Leslie,2011,47,75.0,76.25,82.5,103.0,40.5,143.5,33.0,136.0,205.0,8.1,8.75,9.25,10.0,11.0,3.13
133,Keith Benson,2011,48,82.0,83.0,87.75,109.5,36.0,145.5,31.5,141.0,217.0,6.1,9.5,11.0,12.0,11.88,3.35
134,Josh Selby,2011,49,73.75,75.0,77.25,98.0,42.0,140.0,29.5,127.5,195.0,7.9,8.5,9.0,5.0,11.13,3.2
135,Jon Diebler,2011,51,77.25,78.5,78.0,99.0,35.0,134.0,28.0,127.0,197.0,8.5,8.25,8.25,2.0,10.94,3.37
136,DeAndre Liggins,2011,53,77.0,78.25,83.0,103.5,31.0,134.5,27.0,130.5,202.0,5.0,8.75,10.0,6.0,,3.33
137,E'Twaun Moore,2011,55,74.5,76.0,81.5,99.5,34.5,134.0,32.0,131.5,191.0,7.6,9.0,10.0,,11.12,3.31
138,Isaiah Thomas,2011,60,68.75,70.25,73.75,91.5,40.0,131.5,31.5,123.0,186.0,6.7,8.25,9.0,13.0,10.49,3.14
139,Brandon Knight,2011,8,73.5,75.25,78.75,98.5,37.5,136.0,29.0,127.5,177.0,4.2,8.25,9.5,10.0,10.74,3.07
140,Kemba Walker,2011,9,71.5,73.0,75.5,91.5,39.5,131.0,32.0,123.5,184.0,5.9,8.0,9.0,7.0,10.87,3.16
141,David Lighty,2011,,76.75,78.5,80.0,101.0,33.0,134.0,28.5,129.5,216.0,6.5,9.0,10.0,15.0,10.81,3.25
142,Demetri McCamey,2011,,73.75,75.25,78.25,99.5,33.0,132.5,27.0,126.5,204.0,6.1,8.5,9.0,,11.55,3.19
143,Greg Smith,2011,,80.0,81.25,86.5,106.5,36.0,142.5,29.5,136.0,253.0,7.4,9.75,12.0,17.0,12.43,3.36
144,Jamie Skeen,2011,,78.5,80.0,85.25,106.5,30.5,137.0,26.0,132.5,242.0,9.8,8.5,8.5,10.0,12.43,3.46
145,Jereme Richmond,2011,,78.0,79.25,82.25,106.5,33.5,140.0,27.0,133.5,207.0,5.5,8.75,9.5,,11.74,3.02
146,LaceDarius Dunn,2011,,75.0,76.0,78.25,101.0,31.0,132.0,26.5,127.5,188.0,5.5,9.0,10.25,3.0,11.45,3.27
147,Malcolm Thomas,2011,,79.5,80.75,84.5,107.5,36.5,144.0,32.0,139.5,223.0,5.9,9.5,10.5,5.0,11.31,3.29
148,Michael Dunigan,2011,,80.5,82.0,87.25,107.5,34.5,142.0,29.5,137.0,238.0,8.0,9.0,10.75,10.0,11.85,3.27
149,Rick Jackson,2011,,80.25,81.25,86.0,106.5,33.0,139.5,28.5,135.0,242.0,8.3,8.75,9.5,9.0,11.51,3.26
150,Scotty Hopson,2011,,77.75,78.5,82.5,103.5,36.0,139.5,32.5,136.0,205.0,4.8,8.5,10.0,10.0,10.47,3.18
151,Anthony Davis,2012,1,81.25,82.5,89.5,108.0,,,,,222.0,7.9,9.0,8.5,,,
152,Austin Rivers,2012,10,75.5,77.0,79.25,96.5,37.5,134.0,32.5,129.0,203.0,6.2,8.5,10.0,1.0,11.54,3.32
153,Meyers Leonard,2012,11,83.75,85.25,87.0,108.0,32.5,140.5,30.0,138.0,250.0,5.7,9.25,11.0,19.0,11.34,3.41
154,Jeremy Lamb,2012,12,76.0,77.25,83.0,102.0,38.0,140.0,31.5,133.5,179.0,4.5,8.75,9.25,5.0,10.98,3.25
155,Kendall Marshall,2012,13,75.25,76.25,77.5,96.0,37.0,133.0,31.0,127.0,198.0,7.8,8.5,9.0,,12.03,3.23
156,John Henson,2012,14,81.0,82.5,89.0,112.0,30.0,142.0,25.5,137.5,216.0,8.6,9.25,10.0,5.0,,
157,Moe Harkless,2012,15,79.25,80.75,84.0,102.5,37.0,139.5,32.5,135.0,207.0,5.3,9.25,10.25,5.0,10.87,3.25
158,Royce White,2012,16,79.0,80.0,84.0,104.5,,,,,261.0,10.6,9.5,11.5,,,
159,Tyler Zeller,2012,17,83.25,84.5,84.0,104.5,34.0,138.5,30.0,134.5,247.0,6.4,9.0,9.75,16.0,11.13,3.4
160,Terrence Jones,2012,18,80.25,81.5,86.25,107.0,34.5,141.5,29.5,136.5,252.0,7.7,9.0,10.0,12.0,11.57,3.4
161,Andrew Nicholson,2012,19,80.5,81.5,88.0,107.0,30.5,137.5,28.5,135.5,234.0,7.6,10.0,10.75,10.0,11.89,3.67
162,Michael Kidd-Gilchrist,2012,2,77.75,79.5,84.0,104.5,35.5,140.0,32.0,136.5,233.0,7.0,9.0,10.25,6.0,11.77,3.18
163,Jared Sullinger,2012,21,79.75,81.0,85.25,105.5,31.0,136.5,29.5,135.0,268.0,10.7,9.25,9.75,9.0,12.77,3.81
164,Fab Melo,2012,22,82.75,84.0,86.5,110.0,31.0,141.0,29.5,139.5,255.0,9.2,9.0,10.0,9.0,12.14,3.44
165,John Jenkins,2012,23,75.25,76.25,80.5,98.0,36.5,134.5,30.5,128.5,212.0,7.1,9.0,9.0,10.0,11.36,3.37
166,Jared Cunningham,2012,24,75.5,77.0,78.5,98.0,,,,,188.0,3.6,8.25,9.0,4.0,,
167,Tony Wroten,2012,25,76.75,78.0,81.0,101.0,35.5,136.5,30.0,131.0,203.0,5.2,8.0,9.0,,10.75,3.24
168,Miles Plumlee,2012,26,82.5,83.75,84.75,105.5,40.5,146.0,34.0,139.5,252.0,11.4,9.25,9.0,15.0,10.64,3.36
169,Arnett Moultrie,2012,27,81.5,82.75,86.25,106.5,37.5,144.0,33.5,140.0,233.0,7.7,9.25,9.25,10.0,11.32,3.22
170,Perry Jones,2012,28,82.25,83.25,85.75,107.0,38.5,145.5,33.0,140.0,234.0,4.6,9.25,9.5,11.0,11.31,3.19
171,Marquis Teague,2012,29,73.0,74.0,79.25,96.5,40.5,137.0,32.5,129.0,180.0,6.3,8.25,7.75,8.0,10.65,3.19
172,Bradley Beal,2012,3,75.25,76.75,80.0,100.0,39.0,139.0,33.0,133.0,202.0,6.0,8.5,9.0,8.0,10.95,3.28
173,Festus Ezeli,2012,30,81.75,83.5,89.75,108.0,33.5,141.5,34.0,142.0,264.0,5.5,9.0,10.75,18.0,12.35,3.29
174,Jeff Taylor,2012,31,78.0,79.25,78.25,101.5,40.0,141.5,33.5,135.0,213.0,4.2,8.25,9.75,15.0,10.87,3.29
175,Tomas Satoransky,2012,32,78.5,79.5,79.25,100.0,,,,,201.0,5.2,8.5,9.5,,,
176,Bernard James,2012,33,80.75,82.0,87.0,108.5,32.5,141.0,30.0,138.5,230.0,5.0,9.0,9.25,6.0,11.84,3.4
177,Jae Crowder,2012,34,76.75,78.5,81.25,99.5,34.5,134.0,31.0,130.5,241.0,9.0,9.5,10.5,20.0,11.45,3.37
178,Draymond Green,2012,35,77.75,79.5,85.25,105.0,33.0,138.0,28.0,133.0,236.0,11.3,9.0,9.5,9.0,11.01,3.4
179,Orlando Johnson,2012,36,75.75,77.25,83.25,99.0,39.5,138.5,32.0,131.0,224.0,7.0,9.0,9.5,13.0,10.98,3.25
180,Quincy Acy,2012,37,78.5,79.75,86.75,106.5,37.0,143.5,32.0,138.5,224.0,7.1,9.5,11.0,13.0,10.48,3.28
181,Quincy Miller,2012,38,80.75,82.0,85.25,105.0,36.0,141.0,30.5,135.5,219.0,7.8,9.25,10.25,8.0,11.05,3.48
182,Khris Middleton,2012,39,78.75,80.25,82.75,103.0,31.0,134.0,28.0,131.0,216.0,7.8,9.0,9.0,4.0,11.45,3.47
183,Dion Waiters,2012,4,74.5,76.0,79.25,98.0,,,,,221.0,8.5,8.5,9.5,,,
184,Will Barton,2012,40,77.0,78.0,81.75,102.5,34.0,136.5,30.0,132.5,174.0,4.1,9.0,9.5,,12.5,3.6
185,Tyshawn Taylor,2012,41,74.75,76.0,78.25,97.5,36.5,134.0,32.0,129.5,177.0,4.2,8.75,8.75,,11.48,3.2
186,Doron Lamb,2012,42,75.25,76.75,78.75,98.5,33.5,132.0,29.0,127.5,199.0,6.7,8.5,8.75,2.0,11.12,3.41
187,Mike Scott,2012,43,79.25,80.75,82.75,104.0,32.5,136.5,27.0,131.0,241.0,10.6,8.5,9.0,14.0,11.59,3.44
188,Kim English,2012,44,76.5,77.75,78.5,98.0,36.5,134.5,29.0,127.0,192.0,4.3,8.5,8.75,,10.59,3.33
189,Darius Miller,2012,46,78.0,79.5,81.0,101.0,37.0,138.0,33.0,134.0,233.0,7.5,8.5,8.75,14.0,11.34,3.31
